"GeneID","Symbol","Description","GeneType","baseMean","log2FoldChange","pvalue","padj"
"6286","S100P","S100 calcium binding protein P","protein-coding",1580.58881780955,5.67926413515692,3.1497414727067e-07,0.00300768813228763
"5004","ORM1","orosomucoid 1","protein-coding",47.5367510341425,3.42974524501892,1.99965945549628e-07,0.00300768813228763
"57633","LRRN1","leucine rich repeat neuronal 1","protein-coding",47.2436049155102,-2.29474293712101,2.32308469558037e-06,0.0147887571720646
"4501","MT1X","metallothionein 1X","protein-coding",1537.80134174429,2.74468161705636,5.68728598664323e-06,0.0271539469432281
"130574","LYPD6","LY6/PLAUR domain containing 6","protein-coding",50.4832711711165,-3.17635053867235,1.53180887238123e-05,0.0303250218980436
"107986170","LOC107986170","replaced by ID 10686","",174.460057184905,4.41580610317585,1.26996468166135e-05,0.0303250218980436
"8507","ENC1","ectodermal-neural cortex 1","protein-coding",350.267606665741,-2.07794288234874,1.2343729154318e-05,0.0303250218980436
"100128653","LOC100128653","uncharacterized LOC100128653","ncRNA",228.380896494128,3.12909886817284,1.58786375002846e-05,0.0303250218980436
"869","CBLN1","cerebellin 1 precursor","protein-coding",19.4856965292759,-2.79660099161382,1.32965830117193e-05,0.0303250218980436
"4494","MT1F","metallothionein 1F","protein-coding",3566.73596233295,2.60245047283618,9.27372637579057e-06,0.0303250218980436
"6781","STC1","stanniocalcin 1","protein-coding",5986.91716808966,4.72568809435873,1.88146591120789e-05,0.0326656690656802
"5754","PTK7","protein tyrosine kinase 7 (inactive)","protein-coding",3018.64051740128,-0.77422909863348,2.3844102375637e-05,0.0379478889308262
